sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.9580078,0.018554688,-0.28515625,-36.21875,-4.125,36.0625
1,-1.0068359,-0.06933594,-0.30566406,16.46875,-1.8125,47.0
2,-0.9628906,-0.0546875,-0.2841797,31.53125,22.375,25.5
3,-0.9501953,0.038085938,-0.23925781,-28.75,17.65625,-2.21875
4,-0.88964844,0.046875,-0.25585938,-37.4375,5.40625,-4.46875
5,-0.96484375,0.09277344,-0.31054688,-0.875,-19.5,-2.4375
6,-0.9316406,0.12695312,-0.36621094,-3.125,-14.625,0.40625
7,-0.88964844,0.13378906,-0.38671875,-8.0,-1.0625,9.9375
8,-1.0673828,0.14160156,-0.42089844,-9.90625,25.71875,11.65625
9,-1.2001953,0.15136719,-0.4248047,20.6875,60.09375,17.5
10,-1.4160156,0.12207031,-0.3828125,104.40625,58.875,41.4375
11,-1.2021484,0.099609375,0.37597656,-321.4375,-121.71875,-28.9375
12,-1.1923828,0.16308594,0.13085938,40.8125,-157.25,-28.375
13,-1.0615234,0.47851562,-0.39160156,-55.0,-133.40625,-64.9375
14,-1.0371094,0.5361328,-0.4267578,-169.09375,-93.78125,-71.1875
15,-1.0039062,0.2890625,-0.17871094,-212.90625,-19.75,-66.90625
16,-0.9716797,0.1171875,-0.07519531,-75.15625,-61.1875,-47.0
17,-0.76660156,-0.0126953125,-0.24316406,-28.15625,11.09375,-38.34375
18,-1.1123047,-0.32617188,0.15039062,2.71875,-21.34375,-52.25
19,-0.9003906,0.39160156,0.013671875,100.75,-54.28125,-101.4375
20,-0.63183594,0.4140625,-0.030273438,6.75,-17.71875,-83.5625
21,-0.6542969,0.140625,-0.025390625,-61.84375,36.15625,-59.875
22,-0.7451172,0.0859375,0.19335938,-9.71875,42.4375,-34.3125
23,-0.796875,-0.053710938,0.09863281,72.8125,-1.6875,8.28125
24,-0.71191406,0.0078125,0.052734375,101.5625,-3.03125,41.0
25,-0.8515625,0.06933594,0.06640625,108.03125,30.1875,72.625
26,-1.4873047,-0.1875,0.23242188,6.03125,95.6875,62.5625
27,-1.4677734,-0.27148438,0.70214844,-12.03125,42.9375,16.90625
28,-1.2851562,0.54785156,-0.076171875,13.59375,66.125,31.96875
29,-1.5732422,0.75878906,0.72753906,-7.34375,9.25,70.90625
30,-0.66796875,0.036132812,-0.32714844,45.9375,-9.25,11.53125
31,-0.5019531,0.13476562,-0.13574219,29.90625,28.21875,15.0
32,-1.0976562,0.30371094,-0.32128906,33.96875,17.65625,23.0
33,-1.0380859,0.234375,-0.3359375,94.59375,8.21875,68.15625
34,-0.7285156,0.12597656,-0.24414062,106.375,2.03125,57.125
35,-0.9189453,0.125,-0.2783203,82.25,16.21875,41.75
36,-0.8876953,0.09765625,-0.24316406,49.65625,39.28125,16.84375
37,-0.86035156,0.11328125,-0.24609375,3.71875,50.15625,2.6875
38,-1.0244141,0.087890625,-0.2890625,-41.6875,63.625,2.0625
39,-0.9453125,0.12695312,-0.265625,-16.4375,64.78125,-8.5
40,-0.99121094,0.17578125,-0.27734375,-4.53125,80.65625,-13.875
41,-0.86621094,0.18164062,-0.24902344,-15.03125,74.125,-10.1875
42,-0.9121094,0.19628906,-0.265625,-31.5625,59.46875,-9.28125
43,-1.0693359,0.25195312,-0.29589844,-38.21875,33.125,-2.75
44,-1.0283203,0.23144531,-0.3232422,-33.78125,-0.34375,24.90625
45,-1.0771484,0.125,-0.3232422,-32.125,-28.03125,54.4375
46,-1.1982422,0.026367188,-0.34179688,-22.90625,-30.4375,55.53125
47,-1.125,-0.13769531,-0.35253906,0.71875,-72.53125,51.25
48,-1.2617188,0.49414062,1.0048828,-16.25,-47.9375,-5.75
49,-1.0498047,0.24902344,0.47070312,-378.0625,8.75,-133.5
50,-1.1220703,0.2607422,-0.07324219,123.75,-82.65625,-137.9375
51,-1.4667969,0.85839844,-0.68066406,33.96875,-163.25,-167.59375
52,-1.3408203,0.2734375,0.66503906,-317.8125,3.625,-140.75
53,-0.8613281,0.55371094,-0.39648438,56.1875,-111.65625,-67.5
54,-0.8310547,-0.31445312,0.11425781,137.9375,29.34375,-37.125
55,-0.6464844,0.4189453,0.18359375,-5.875,-4.53125,-99.375
56,-0.46875,0.2783203,-0.045898438,2.0,17.125,-56.09375
57,-0.70703125,0.08203125,-0.1171875,-11.3125,40.0625,-17.46875
58,-0.8642578,-0.0234375,0.20214844,-17.84375,28.09375,8.0625
59,-0.9921875,-0.28515625,0.12402344,58.03125,1.5625,48.21875
60,-1.015625,-0.3671875,0.091796875,98.25,4.3125,69.8125
61,-1.3476562,-0.28125,0.24023438,38.1875,26.875,43.5
62,-1.2353516,-0.11425781,0.5214844,32.875,-28.28125,15.625
63,-1.0039062,0.4326172,-0.046875,26.53125,23.96875,35.875
64,-1.3398438,0.6542969,0.091796875,42.40625,145.65625,136.59375
65,-1.109375,0.028320312,-0.35742188,-92.78125,54.96875,37.65625
66,-0.578125,0.015625,-0.17773438,6.9375,42.625,45.90625
67,-0.57128906,0.09375,-0.1875,-27.34375,-14.625,22.09375
68,-1.1230469,0.23535156,-0.31347656,36.71875,-43.1875,24.59375
69,-0.87890625,0.21875,-0.32714844,151.28125,-34.6875,60.84375
70,-0.8779297,0.23535156,-0.32421875,93.8125,25.4375,30.625
71,-0.9707031,0.10449219,-0.2705078,35.5,37.03125,36.1875
72,-0.8574219,0.08691406,-0.25683594,32.53125,45.875,18.96875
73,-0.9667969,0.08984375,-0.2861328,22.09375,50.03125,12.8125
74,-0.9453125,0.11230469,-0.27734375,36.53125,62.65625,4.4375
75,-0.91308594,0.1484375,-0.27539062,49.375,73.40625,-5.3125
76,-0.9277344,0.19628906,-0.2939453,51.9375,78.09375,-7.34375
77,-0.9091797,0.24511719,-0.31640625,36.96875,76.4375,-4.34375
78,-0.9746094,0.27148438,-0.328125,1.75,68.21875,-6.28125
79,-1.046875,0.3642578,-0.28515625,-52.3125,37.875,-1.09375
80,-1.1328125,0.15234375,-0.32128906,-133.5625,2.90625,16.34375
81,-1.3457031,-0.013671875,-0.38476562,-122.09375,-47.75,49.75
82,-1.2148438,-0.30078125,-0.24804688,-18.6875,-146.03125,53.34375
83,-0.890625,0.028320312,0.6425781,-321.84375,-69.90625,-87.71875
84,-1.1357422,0.20117188,-0.17675781,215.3125,-111.0625,-96.75
85,-1.453125,0.76171875,-0.7109375,83.40625,-215.0,-126.40625
86,-0.9550781,0.7167969,-0.39453125,-358.21875,-59.78125,-176.59375
87,-0.9638672,0.1875,0.4326172,-114.40625,132.40625,-126.46875
88,-0.8466797,0.26464844,-0.28125,97.59375,-98.59375,-9.28125
89,-0.9140625,-0.3310547,0.10839844,28.0625,11.625,-27.40625
90,-0.67089844,0.44726562,0.055664062,9.9375,-33.90625,-77.46875
91,-0.5283203,0.24511719,-0.15917969,13.59375,-5.34375,-45.84375
92,-0.5,0.09765625,-0.14355469,-14.25,47.09375,-21.75
93,-0.82910156,-0.10644531,0.078125,-6.65625,54.84375,17.3125
94,-1.1132812,-0.3857422,0.07910156,83.78125,20.78125,52.375
95,-1.2509766,-0.4658203,0.0625,45.625,85.125,65.1875
96,-1.4375,-0.5986328,0.29101562,-26.3125,21.09375,67.25
97,-1.0917969,0.078125,0.20703125,83.25,-37.375,2.125
98,-0.4658203,0.36035156,-0.20117188,90.3125,13.15625,44.625
99,-1.2597656,0.4814453,-0.23144531,47.09375,133.875,91.5
100,-1.9912109,0.34765625,0.62597656,137.75,210.53125,29.15625
101,-0.8779297,0.1640625,-0.32421875,-283.34375,200.78125,5.5625
102,-0.27441406,0.10253906,-0.21484375,-103.71875,13.65625,-14.40625
103,-0.8984375,0.23828125,-0.4248047,66.8125,-120.34375,38.1875
104,-1.0839844,0.27539062,-0.4794922,214.21875,-99.8125,115.53125
105,-0.82910156,0.119140625,-0.29785156,205.90625,-1.5,88.4375
106,-0.796875,0.0703125,-0.2783203,158.1875,14.375,74.875
107,-0.9189453,0.125,-0.30371094,98.625,34.28125,37.03125
108,-0.9736328,0.111328125,-0.3544922,-1.65625,52.46875,6.28125
109,-0.8515625,0.0703125,-0.3173828,3.53125,41.90625,6.53125
110,-0.9296875,0.17089844,-0.34277344,-40.46875,73.75,-25.40625
