sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.14257812,-0.94976807,0.3427124,-1.171875,-0.65625,0.421875
1,-0.17089844,-0.9644165,0.34051514,-1.796875,-0.28125,0.4375
2,-0.16357422,-0.94366455,0.32684326,-1.953125,-0.84375,0.328125
3,-0.16894531,-0.9446411,0.3348999,-2.671875,-1.34375,-2.28125
4,-0.1796875,-0.9507446,0.35028076,-0.625,-1.203125,-1.421875
5,-0.16674805,-0.9570923,0.33636475,-3.3125,-0.4375,-0.796875
6,-0.16967773,-0.9536743,0.32977295,-0.484375,0.34375,0.609375
7,-0.17797852,-0.95635986,0.33880615,-0.90625,-0.25,0.40625
8,-0.17504883,-0.9483032,0.338562,-1.796875,-0.671875,-1.8125
9,-0.17236328,-0.9612427,0.34417725,-3.09375,0.1875,-1.6875
10,-0.18188477,-0.95806885,0.3451538,-1.546875,-0.703125,-0.890625
11,-0.19018555,-0.94244385,0.34954834,-1.84375,1.109375,-0.6875
12,-0.18261719,-0.9475708,0.34906006,-3.0,-0.78125,-0.515625
13,-0.17211914,-0.9505005,0.35687256,-3.84375,-0.53125,-0.6875
14,-0.17602539,-0.9475708,0.3619995,-1.625,-0.921875,-0.09375
15,-0.16552734,-0.9507446,0.37322998,-0.296875,-1.53125,0.71875
16,-0.19580078,-0.9451294,0.35101318,-2.171875,-0.953125,1.109375
17,-0.2084961,-0.9168091,0.38031006,-2.84375,-0.09375,-0.171875
18,-0.19042969,-0.94732666,0.35882568,-2.875,0.3125,-1.125
19,-0.17895508,-0.94488525,0.37542725,-3.046875,1.0625,-1.25
20,-0.1665039,-0.9451294,0.3583374,-1.640625,1.40625,-1.03125
21,-0.1694336,-0.9417114,0.3768921,-0.578125,0.40625,-0.578125
22,-0.19165039,-0.9273071,0.36663818,-2.515625,-1.0625,-2.171875
23,-0.19140625,-0.9483032,0.37078857,-1.40625,0.09375,-1.296875
24,-0.18139648,-0.93756104,0.37054443,-1.859375,-0.03125,-0.546875
25,-0.18041992,-0.94195557,0.36273193,-1.828125,-0.265625,-1.015625
26,-0.17529297,-0.9368286,0.36468506,-0.234375,0.796875,-0.984375
27,-0.17529297,-0.94000244,0.36761475,-0.75,-0.640625,-0.984375
28,-0.18432617,-0.9524536,0.3727417,-0.640625,-0.703125,0.03125
29,-0.18798828,-0.93829346,0.38641357,-0.703125,-0.09375,0.71875
30,-0.18579102,-0.94488525,0.3793335,-0.921875,-0.734375,0.0625
31,-0.19750977,-0.92071533,0.3788452,-1.875,-1.546875,-0.90625
32,-0.19702148,-0.942688,0.38934326,-1.578125,-0.890625,-1.046875
33,-0.18383789,-0.9475708,0.36810303,-0.046875,-0.8125,0.421875
34,-0.17382812,-0.9404907,0.3637085,-1.109375,-1.09375,0.578125
35,-0.18798828,-0.94317627,0.3847046,-0.171875,0.140625,0.8125
36,-0.19921875,-0.93292236,0.3842163,0.765625,-0.140625,0.75
37,-0.1940918,-0.9378052,0.3764038,-0.8125,-0.515625,-1.34375
38,-0.18823242,-0.93585205,0.38153076,-1.265625,-0.625,-0.9375
39,-0.1965332,-0.94122314,0.38275146,-2.0,-0.515625,0.046875
40,-0.18115234,-0.92974854,0.36834717,-0.203125,-0.09375,-0.25
41,-0.18847656,-0.9351196,0.38201904,0.09375,-0.546875,0.671875
42,-0.17871094,-0.9480591,0.36883545,-1.1875,-2.15625,-0.453125
43,-0.21069336,-0.92144775,0.37835693,-2.34375,-0.28125,-0.546875
44,-0.19311523,-0.94244385,0.38079834,0.078125,-0.390625,-0.921875
45,-0.19213867,-0.9307251,0.37957764,-2.03125,-0.796875,-1.203125
46,-0.17797852,-0.9368286,0.37445068,-0.6875,0.09375,0.125
47,-0.18359375,-0.9573364,0.38079834,-0.15625,-1.8125,0.65625
48,-0.19702148,-0.9302368,0.37713623,-0.6875,0.15625,0.0
49,-0.19897461,-0.9336548,0.355896,-1.765625,0.21875,-1.34375
50,-0.18847656,-0.942688,0.38079834,0.15625,0.96875,-0.203125
51,-0.18554688,-0.9470825,0.36956787,-0.53125,0.125,0.140625
52,-0.18408203,-0.9385376,0.3624878,-1.21875,0.40625,-0.71875
53,-0.18725586,-0.9417114,0.37078857,0.578125,1.40625,-0.140625
54,-0.19799805,-0.92852783,0.37664795,-0.5,0.421875,-0.515625
55,-0.19213867,-0.9414673,0.37860107,-1.8125,1.015625,-1.890625
56,-0.16870117,-0.9492798,0.36712646,0.5625,1.421875,-0.4375
