sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.08984375,-0.058166504,-0.9451294,0.34375,2.03125,0.453125
1,0.09033203,-0.058898926,-0.9421997,1.09375,2.9375,0.75
2,0.087402344,-0.054260254,-0.9456177,1.125,3.421875,0.8125
3,0.087402344,-0.055480957,-0.94195557,0.21875,2.328125,0.28125
4,0.088134766,-0.051818848,-0.94732666,-0.265625,1.21875,0.078125
5,0.083740234,-0.05255127,-0.9451294,-0.328125,0.90625,0.140625
6,0.084228516,-0.055236816,-0.94122314,-0.390625,0.609375,-0.078125
7,0.08154297,-0.057922363,-0.94976807,-0.859375,0.375,-0.03125
8,0.083740234,-0.051086426,-0.9470825,-0.578125,0.328125,0.046875
9,0.083740234,-0.055236816,-0.9404907,-0.15625,1.28125,0.046875
10,0.0859375,-0.053527832,-0.9421997,-0.125,1.515625,0.15625
11,0.08520508,-0.053527832,-0.94195557,0.046875,2.046875,0.421875
12,0.088378906,-0.050354004,-0.9463501,0.65625,3.0,0.5625
13,0.080322266,-0.050598145,-0.942688,1.328125,4.734375,0.578125
14,0.072753906,-0.051086426,-0.94732666,1.015625,5.1875,0.453125
15,0.06640625,-0.04815674,-0.96588135,-0.0625,3.390625,0.21875
16,0.064697266,-0.042053223,-0.954895,-1.0,0.15625,0.28125
17,0.06640625,-0.051086426,-0.96173096,-1.828125,-1.703125,-0.125
18,0.07055664,-0.050354004,-0.94317627,-1.875,-2.484375,-0.3125
19,0.0769043,-0.04840088,-0.95391846,-2.546875,-3.59375,-0.640625
20,0.09057617,-0.058410645,-0.93829346,-2.359375,-2.265625,-0.59375
21,0.092285156,-0.059143066,-0.94366455,-1.625,-1.109375,-0.625
22,0.10107422,-0.05987549,-0.940979,-0.921875,0.28125,-0.03125
23,0.09472656,-0.06011963,-0.94415283,0.0,0.875,0.015625
24,0.09301758,-0.062561035,-0.9456177,0.484375,1.671875,0.109375
25,0.09375,-0.05718994,-0.94659424,0.890625,2.4375,0.359375
26,0.08911133,-0.055725098,-0.9483032,1.46875,3.265625,0.5
27,0.09057617,-0.054748535,-0.95269775,0.78125,2.859375,0.578125
28,0.078125,-0.05303955,-0.9458618,0.625,2.5625,0.5625
29,0.084228516,-0.049621582,-0.94854736,0.140625,1.859375,0.140625
30,0.080078125,-0.050354004,-0.9429321,-0.15625,1.1875,0.15625
31,0.080078125,-0.054504395,-0.9390259,-0.25,0.90625,0.078125
32,0.07861328,-0.050109863,-0.94317627,-0.546875,0.390625,0.0625
33,0.083496094,-0.04498291,-0.9458618,-0.625,0.5,-0.109375
34,0.084228516,-0.055725098,-0.94366455,-0.8125,0.328125,-0.03125
35,0.08105469,-0.055480957,-0.9475708,-0.28125,0.828125,0.09375
36,0.0871582,-0.049865723,-0.9470825,-0.390625,0.96875,0.203125
37,0.09008789,-0.051818848,-0.9446411,-0.09375,1.5,0.0
38,0.0847168,-0.050354004,-0.94122314,-0.125,1.53125,0.15625
39,0.079833984,-0.05670166,-0.94244385,-0.1875,1.359375,0.25
40,0.07495117,-0.051818848,-0.9439087,-0.28125,1.453125,0.078125
41,0.0793457,-0.05279541,-0.9512329,-0.375,1.078125,0.078125
42,0.07470703,-0.05718994,-0.9507446,-0.625,0.921875,0.171875
43,0.088378906,-0.053771973,-0.9380493,-0.78125,0.1875,0.171875
44,0.08618164,-0.047180176,-0.9365845,-0.796875,0.53125,-0.015625
45,0.08642578,-0.053771973,-0.9517212,-0.828125,0.65625,0.109375
46,0.08984375,-0.05645752,-0.94195557,-0.359375,0.96875,0.109375
47,0.092285156,-0.054260254,-0.94781494,-0.484375,0.671875,0.171875
48,0.0793457,-0.05303955,-0.9529419,-0.625,1.1875,0.15625
49,0.08496094,-0.057922363,-0.94195557,-0.46875,0.703125,0.125
50,0.0859375,-0.05596924,-0.9492798,-0.296875,1.015625,-0.078125
51,0.08691406,-0.054016113,-0.9429321,-0.453125,0.859375,0.03125
52,0.08666992,-0.04888916,-0.9480591,-0.9375,0.015625,0.0625
53,0.09375,-0.053771973,-0.9378052,-0.8125,-0.078125,0.03125
54,0.09033203,-0.054748535,-0.93756104,-0.578125,0.546875,0.046875
55,0.09448242,-0.05279541,-0.94781494,-0.546875,0.734375,-0.015625
56,0.08642578,-0.05987549,-0.9517212,-0.828125,0.5625,0.078125
57,0.08886719,-0.06500244,-0.9434204,-0.828125,0.59375,-0.1875
58,0.052978516,-0.073791504,-0.94781494,-1.578125,-0.625,-1.640625
59,0.09033203,-0.06060791,-0.9536743,-0.65625,0.734375,0.109375
60,0.09375,-0.062561035,-0.9458618,-0.796875,0.234375,0.015625
61,0.099853516,-0.058654785,-0.9468384,-1.4375,-0.140625,-0.140625
62,0.0949707,-0.06744385,-0.93927,-1.40625,0.203125,-0.1875
63,0.09423828,-0.05987549,-0.9421997,-0.484375,1.078125,0.078125
64,0.103759766,-0.06060791,-0.9368286,-0.453125,1.03125,0.09375
65,0.09765625,-0.06890869,-0.9483032,-0.28125,1.140625,0.125
66,0.09448242,-0.059143066,-0.9429321,-0.265625,1.0,0.125
67,0.099365234,-0.059631348,-0.9421997,0.296875,1.59375,0.25
68,0.08959961,-0.061828613,-0.94488525,0.734375,2.484375,0.3125
69,0.09790039,-0.058166504,-0.9439087,0.1875,1.78125,0.15625
70,0.091552734,-0.059631348,-0.9404907,0.0625,1.203125,0.234375
71,0.09423828,-0.061584473,-0.9463501,0.046875,1.4375,0.140625
72,0.091796875,-0.062805176,-0.94976807,0.046875,1.359375,0.03125
73,0.095458984,-0.05718994,-0.9483032,0.109375,1.359375,0.015625
74,0.091308594,-0.058166504,-0.94976807,-0.28125,0.859375,0.203125
75,0.095458984,-0.0569458,-0.940979,-0.484375,0.59375,0.140625
76,0.09301758,-0.05987549,-0.9414673,-0.875,0.109375,-0.0625
77,0.09472656,-0.06304932,-0.93585205,-0.8125,0.453125,-0.046875
78,0.08618164,-0.06695557,-0.9451294,-0.53125,0.984375,-0.125
79,0.09472656,-0.058654785,-0.9500122,0.375,1.71875,0.3125
80,0.08984375,-0.061340332,-0.94659424,0.296875,1.703125,0.1875
81,0.08862305,-0.0569458,-0.93927,-0.03125,1.109375,0.15625
82,0.095458984,-0.05987549,-0.9380493,-0.109375,1.1875,0.15625
83,0.09350586,-0.054992676,-0.9385376,-0.21875,1.140625,0.125
84,0.08911133,-0.054992676,-0.9380493,-0.015625,1.125,0.0625
85,0.09008789,-0.05670166,-0.94244385,-0.40625,1.0,0.109375
86,0.091796875,-0.057922363,-0.9561157,-0.359375,1.140625,0.078125
87,0.0871582,-0.053527832,-0.93292236,-0.5625,0.609375,0.078125
88,0.091552734,-0.06036377,-0.944397,-0.53125,1.015625,0.21875
89,0.09057617,-0.057434082,-0.9380493,-0.578125,0.859375,-0.171875
90,0.08666992,-0.05328369,-0.942688,-0.3125,1.0625,0.046875
91,0.083740234,-0.05596924,-0.9475708,-0.234375,1.046875,0.21875
92,0.0925293,-0.059631348,-0.94073486,-0.078125,1.234375,0.15625
93,0.088134766,-0.057434082,-0.9475708,0.0625,1.59375,0.34375
94,0.08618164,-0.06524658,-0.94366455,-0.09375,0.984375,0.25
95,0.09350586,-0.057922363,-0.95391846,-0.171875,1.171875,0.0625
96,0.08862305,-0.053771973,-0.9480591,-0.25,1.171875,0.09375
97,0.08666992,-0.061340332,-0.9590454,-0.4375,1.359375,0.34375
98,0.08642578,-0.06402588,-0.9578247,-0.515625,0.734375,0.109375
99,0.091308594,-0.058166504,-0.9570923,-0.40625,1.046875,0.046875
100,0.08618164,-0.054016113,-0.94366455,-0.421875,0.9375,-0.078125
101,0.087402344,-0.057434082,-0.9458618,-0.1875,1.046875,0.125
102,0.087402344,-0.05718994,-0.94317627,-0.296875,0.96875,0.046875
103,0.08911133,-0.058166504,-0.9483032,-0.09375,1.171875,0.0
104,0.08935547,-0.058166504,-0.9480591,-0.125,1.265625,0.203125
105,0.088134766,-0.055725098,-0.93927,-0.203125,1.140625,0.078125
106,0.08203125,-0.055236816,-0.956604,-0.375,1.03125,0.015625
107,0.08935547,-0.05621338,-0.93707275,-0.5625,0.5625,0.125
108,0.08520508,-0.057922363,-0.9517212,-0.359375,1.28125,0.109375
