sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.04736328,-0.94195557,0.11175537,-1.625,0.25,-0.671875
1,-0.08642578,-1.0513306,0.015319824,-9.046875,-1.109375,-1.609375
2,-0.06762695,-0.9356079,0.05291748,3.125,10.59375,0.03125
3,0.041259766,-1.0830688,0.14910889,22.546875,13.8125,1.171875
4,-0.13769531,-1.020813,0.05999756,-7.984375,-0.09375,12.53125
5,-0.06640625,-0.81256104,-0.009094238,-4.515625,-0.40625,-6.65625
6,0.03466797,-1.065979,0.08294678,16.859375,6.875,-5.234375
7,-0.040039062,-1.0872192,0.101501465,-3.25,-0.796875,10.125
8,-0.0546875,-0.92926025,-0.018615723,-6.6875,-1.203125,1.1875
9,0.0068359375,-0.99884033,0.04437256,12.5,8.609375,-4.25
10,-0.05444336,-1.0339966,0.018249512,-7.046875,-1.171875,4.90625
11,-0.07080078,-0.9143677,0.06781006,-2.59375,-0.546875,4.015625
12,0.0034179688,-1.0007935,0.07122803,11.328125,5.71875,-6.6875
13,-0.09765625,-1.0198364,-0.0029907227,-16.78125,-0.625,-0.859375
14,0.00024414062,-0.91534424,0.09857178,-1.328125,5.203125,-7.390625
15,0.004638672,-1.1167603,0.07220459,-8.375,-0.484375,2.359375
16,0.00048828125,-0.9636841,0.09442139,-28.328125,-5.3125,4.203125
17,-0.06201172,-0.99468994,0.121032715,5.640625,-5.296875,-0.875
18,-0.02319336,-1.0286255,0.07098389,2.109375,-2.46875,1.625
19,-0.099365234,-0.9331665,0.070251465,-3.890625,-0.65625,3.3125
20,0.024414062,-0.954895,0.09613037,14.296875,2.96875,-6.484375
21,-0.026367188,-1.1121216,0.070007324,-5.546875,-3.96875,2.15625
22,-0.017089844,-0.89019775,0.06707764,-4.484375,-2.75,1.875
23,-0.009033203,-1.0195923,0.05633545,2.484375,-2.09375,-6.0
24,-0.009277344,-1.0071411,0.10223389,-2.15625,1.140625,-2.53125
25,-0.05859375,-1.0073853,0.10809326,0.640625,-3.40625,-1.65625
26,-0.05834961,-1.0083618,0.06854248,-4.734375,-5.21875,-3.09375
27,-0.06347656,-0.96051025,0.046081543,2.984375,-0.046875,-1.53125
28,-0.04296875,-1.0352173,0.08905029,11.140625,2.453125,-5.640625
29,-0.04663086,-0.97491455,0.17791748,12.8125,2.96875,-1.59375
30,-0.14453125,-1.0454712,0.0060424805,-0.46875,-2.4375,9.640625
31,-0.115722656,-0.89508057,0.005554199,-6.59375,6.015625,0.0
32,-0.025878906,-1.1091919,0.062683105,9.796875,10.28125,0.578125
33,0.018798828,-0.9492798,0.08929443,10.375,14.984375,15.921875
34,-0.11791992,-1.0527954,0.058532715,6.75,7.03125,21.71875
35,-0.07885742,-0.90411377,0.041931152,-3.078125,6.546875,1.859375
36,0.091796875,-0.96295166,-0.097961426,1.6875,9.359375,-0.421875
37,0.08862305,-1.0247192,-0.003479004,-2.859375,5.703125,8.15625
38,0.12231445,-0.95562744,0.04925537,7.703125,-2.140625,-1.125
39,0.08154297,-1.0628052,0.051696777,-5.328125,-8.28125,1.71875
40,0.096191406,-0.79888916,-0.022277832,-5.453125,-9.453125,-9.953125
41,-0.16186523,-1.0476685,0.0758667,12.625,-13.609375,3.359375
42,0.03930664,-0.9126587,0.015808105,5.40625,-2.59375,17.1875
43,-0.024902344,-1.0261841,-0.034484863,-18.359375,-3.203125,-8.75
44,0.14868164,-0.9492798,0.06585693,6.90625,5.5625,-20.5
45,-0.21459961,-1.2940063,0.121276855,16.5625,-28.84375,1.46875
46,0.01953125,-0.69659424,-0.050598145,-5.765625,13.671875,17.484375
47,0.036376953,-0.973938,0.008972168,-27.453125,10.484375,-22.6875
48,0.07763672,-0.85235596,0.12884521,2.6875,3.203125,-19.015625
49,-0.24804688,-1.3984985,0.16082764,26.671875,-23.40625,19.4375
50,0.10473633,-0.6411743,-0.117492676,-13.15625,21.25,31.59375
51,0.13842773,-0.8230591,0.009216309,-16.875,6.703125,-26.515625
52,0.064208984,-1.170227,0.117126465,-0.734375,0.0625,-20.9375
53,-0.0859375,-1.1951294,0.18939209,6.046875,-18.0625,14.453125
54,-0.08203125,-0.7686157,0.00091552734,-2.3125,2.828125,11.78125
55,0.009033203,-0.9541626,0.074645996,-8.0,0.25,-21.421875
56,-0.032958984,-1.1026001,0.11541748,-19.34375,6.328125,-4.34375
57,-0.08642578,-0.9199829,0.11419678,-0.21875,3.90625,10.03125
58,-0.125,-1.0913696,0.18670654,21.984375,9.28125,4.65625
59,0.016113281,-1.0325317,0.11639404,-6.640625,6.765625,0.703125
60,0.0075683594,-0.9182739,0.03265381,-17.609375,0.75,0.625
61,-0.072509766,-1.0444946,0.10296631,11.46875,8.546875,11.890625
62,-0.008300781,-0.9314575,0.08514404,11.25,-2.359375,7.421875
63,0.091308594,-0.9924927,0.031921387,18.546875,12.890625,13.921875
64,0.041015625,-0.99884033,0.010681152,-0.9375,-10.1875,5.125
65,0.0871582,-0.90704346,-0.024719238,-8.09375,-1.71875,-3.796875
66,0.10229492,-1.1345825,-0.035949707,-14.140625,3.046875,-7.328125
67,0.033447266,-0.90875244,0.12371826,4.046875,7.015625,6.9375
68,-0.01953125,-1.0396118,0.16033936,18.078125,-3.984375,5.15625
69,-0.017822266,-0.9038696,0.020690918,-14.984375,-11.203125,5.59375
70,0.08666992,-0.8635864,-0.004699707,-15.625,3.90625,-24.453125
71,0.092285156,-1.234436,0.12738037,-3.890625,4.265625,-11.453125
72,0.0234375,-0.97491455,0.16790771,6.9375,-9.734375,14.46875
73,-0.06933594,-1.0247192,0.029724121,-2.234375,-5.75,14.5
74,0.05834961,-0.788147,0.016540527,-20.171875,1.59375,-23.46875
75,0.09082031,-1.1958618,0.109558105,-9.4375,4.609375,-15.34375
76,0.0026855469,-0.9380493,0.109802246,4.96875,-3.109375,19.015625
77,-0.0859375,-0.97442627,0.1149292,8.171875,-4.25,10.234375
78,0.0234375,-0.87823486,0.08416748,-13.1875,-0.859375,-17.140625
79,0.115722656,-1.1309204,0.105163574,-14.625,-0.4375,-15.65625
80,0.02319336,-1.0178833,0.09539795,-2.46875,-2.125,13.703125
